Route_No,SPEED_ZONE,Light_Condition,ROAD_TYPE,DIRECTION_LOCATION,NODE_TYPE,Deg_Urban_Name
180994,60,1,STREET,N,I,MELB_URBAN
213222,60,1,STREET,N,I,MELB_URBAN
5044,60,3,ROAD,SE,I,MELB_URBAN
138932,60,3,ROAD,SE,I,MELB_URBAN
5026,60,1,STREET,SW,I,MELB_URBAN
150347,60,1,STREET,SW,I,MELB_URBAN
2090,80,1,ROAD,S,I,MELB_URBAN
159508,80,1,ROAD,S,I,MELB_URBAN
2460,80,1,HIGHWAY,NE,I,SMALL_CITIES
105177,80,1,HIGHWAY,NE,I,SMALL_CITIES
5127,60,1,ROAD,NW,I,MELB_URBAN
5871,60,1,ROAD,NW,I,MELB_URBAN
5882,60,1,ROAD,NW,I,MELB_URBAN
5493,60,3,HIGHWAY,SE,I,MELB_URBAN
5828,60,3,HIGHWAY,SE,I,MELB_URBAN
100455,70,1,ROAD,S,I,MELB_URBAN
2080,60,1,STREET,S,I,MELB_URBAN
151679,60,1,STREET,S,I,MELB_URBAN
179857,50,1,STREET,E,I,MELBOURNE_CBD
280635,50,1,STREET,E,I,MELBOURNE_CBD
5041,50,1,STREET,S,I,MELBOURNE_CBD
129028,50,1,STREET,S,I,MELBOURNE_CBD
147239,50,1,STREET,S,I,MELBOURNE_CBD
2240,60,3,AVENUE,NW,I,MELB_URBAN
2997,60,3,AVENUE,NW,I,MELB_URBAN
5287,60,3,AVENUE,NW,I,MELB_URBAN
5603,70,1,ROAD,E,I,MELB_URBAN
5817,70,1,ROAD,E,I,MELB_URBAN
136581,70,1,ROAD,E,I,MELB_URBAN
5898,40,1,ROAD,W,I,MELB_URBAN
5998,40,1,ROAD,W,I,MELB_URBAN
5861,60,1,ROAD,SW,I,MELB_URBAN
108667,60,1,ROAD,SW,I,MELB_URBAN
5721,60,1,STREET,SW,I,MELB_URBAN
5855,60,1,STREET,SW,I,MELB_URBAN
5856,60,1,STREET,SW,I,MELB_URBAN
5292,60,1,ROAD,NW,I,MELB_URBAN
5806,60,1,ROAD,S,I,MELB_URBAN
199240,60,1,ROAD,S,I,MELB_URBAN
2750,70,1,HIGHWAY,W,I,MELB_URBAN
5320,70,1,HIGHWAY,W,I,MELB_URBAN
2660,60,1,HIGHWAY,SE,I,MELB_URBAN
5297,60,1,HIGHWAY,SE,I,MELB_URBAN
150077,80,3,HIGHWAY,N,I,MELB_URBAN
184961,80,3,HIGHWAY,N,I,MELB_URBAN
5303,60,1,ROAD,W,I,MELB_URBAN
5803,60,1,ROAD,W,I,MELB_URBAN
5801,70,2,ROAD,S,I,MELB_URBAN
5311,80,1,HIGHWAY,NW,I,MELB_URBAN
169781,80,1,HIGHWAY,NW,I,MELB_URBAN
5304,60,3,ROAD,W,I,MELB_URBAN
2400,80,3,ROAD,N,I,MELB_URBAN
2510,80,3,ROAD,N,I,MELB_URBAN
118162,80,3,HIGHWAY,NW,I,MELB_URBAN
208800,80,3,HIGHWAY,NW,I,MELB_URBAN
2050,70,1,ROAD,W,I,MELB_URBAN
5500,60,1,ROAD,S,I,MELB_URBAN
107383,60,1,ROAD,S,I,MELB_URBAN
148176,50,1,STREET,W,I,MELB_URBAN
185293,50,1,STREET,W,I,MELB_URBAN
247668,50,1,STREET,W,I,MELB_URBAN
199701,60,3,ROAD,S,I,MELB_URBAN
205152,60,3,ROAD,S,I,MELB_URBAN
5797,60,1,ROAD,NE,I,MELB_URBAN
226544,60,1,ROAD,NE,I,MELB_URBAN
125581,60,2,HIGHWAY,N,I,MELB_URBAN
105926,80,1,ROAD,SW,I,MELB_URBAN
5231,70,3,ROAD,NE,I,MELB_URBAN
156930,70,3,ROAD,NE,I,MELB_URBAN
5163,50,2,STREET,W,I,MELB_URBAN
5768,50,2,STREET,W,I,MELB_URBAN
180938,50,2,STREET,W,I,MELB_URBAN
106504,50,1,STREET,N,I,MELB_URBAN
152675,50,1,STREET,N,I,MELB_URBAN
2580,80,1,HIGHWAY,N,I,MELB_URBAN
121307,80,1,HIGHWAY,N,I,MELB_URBAN
200157,100,1,ROAD,SW,I,RURAL_VICTORIA
274975,100,1,ROAD,SW,I,RURAL_VICTORIA
4034,75,1,ROAD,NE,I,MELB_URBAN
220840,75,1,ROAD,NE,I,MELB_URBAN
146582,50,1,ROAD,E,I,MELB_URBAN
5715,90,1,ROAD,SE,I,MELB_URBAN
5757,90,1,ROAD,SE,I,MELB_URBAN
5770,60,1,ROAD,N,I,SMALL_CITIES
121498,60,1,ROAD,N,I,SMALL_CITIES
5740,60,1,DRIVE,NW,I,MELB_URBAN
5744,60,1,DRIVE,NW,I,MELB_URBAN
277245,60,1,DRIVE,NW,I,MELB_URBAN
