ACCIDENTDATE,snowing,raining,foggy,smoke,dust,strong_winds,wind_dir,wind_speed,temperature,SURFACE_COND
2006-02-23,0,0,0,0,0,0,NNE,12.0,93.0,1
2006-02-06,0,0,0,0,0,0,SSW,18.0,59.0,1
2006-01-09,0,0,0,0,0,0,NW,7.0,74.0,1
2006-01-24,0,0,0,0,0,0,SSE,17.0,67.0,1
2006-02-24,0,0,0,0,0,0,E,5.0,69.0,1
2006-01-17,0,0,0,0,0,0,S,10.0,58.0,1
2006-03-05,0,0,0,0,0,0,S,15.0,61.0,1
2006-02-25,0,0,0,0,0,0,N,16.0,82.0,1
2006-02-16,0,0,0,0,0,0,S,7.0,72.0,1
2006-03-10,0,0,0,0,0,0,S,13.0,63.0,1
2006-02-17,0,0,0,0,0,0,S,20.0,84.0,1
2006-01-13,0,0,0,0,0,0,S,14.0,53.0,1
2006-01-31,0,0,0,0,0,0,SSE,22.0,63.0,1
2006-01-15,0,0,0,0,0,0,S,18.0,52.0,1
2006-02-26,0,1,0,0,0,0,SSW,12.0,65.0,2
2006-02-15,0,0,0,0,0,0,NNW,3.0,70.0,1
2006-01-02,0,0,0,0,0,0,W,5.0,59.0,1
2006-02-13,0,0,0,0,0,0,SSW,15.0,64.0,1
2006-03-03,0,0,0,0,0,0,S,5.0,92.0,1
2006-03-02,0,0,0,0,0,0,E,6.0,62.0,1
2006-02-20,0,0,0,0,0,0,SSW,12.0,69.0,1
2006-03-08,0,0,0,0,0,0,W,7.0,74.0,1
2006-03-04,0,0,0,0,0,0,NNW,3.0,71.0,1
2006-02-07,0,0,0,0,0,0,SSE,9.0,57.0,1
2006-01-30,0,0,0,0,0,0,S,13.0,62.0,1
2006-02-09,0,0,0,0,0,0,WSW,14.0,61.0,1
2006-02-12,0,0,0,0,0,0,N,8.0,61.0,1
2006-03-07,0,0,0,0,0,0,SSW,14.0,65.0,1
2006-01-27,0,1,0,0,0,0,S,5.0,70.0,2
2006-02-04,0,0,0,0,0,0,S,9.0,70.0,1
2006-02-03,0,0,0,0,0,0,S,12.0,67.0,1
2006-01-29,0,0,0,0,0,0,ESE,2.0,72.0,1
2006-01-18,0,0,0,0,0,0,E,15.0,78.0,1
2006-02-27,0,0,0,0,0,0,E,3.0,54.0,1
2006-02-19,0,0,0,0,0,0,SSW,14.0,70.0,1
2006-02-08,0,0,0,0,0,0,N,14.0,87.0,1
2006-01-05,0,0,0,0,0,0,SE,14.0,65.0,1
2006-02-22,0,0,0,0,0,0,S,14.0,64.0,1
2006-01-11,0,0,0,0,0,0,SSW,17.0,69.0,1
2006-01-01,0,0,0,0,0,0,SE,10.0,73.0,1
2006-02-10,0,0,0,0,0,0,SSW,12.0,52.0,1
2006-01-25,0,0,0,0,0,0,S,8.0,80.0,1
2006-02-21,0,0,0,0,0,0,SW,15.0,70.0,1
2006-02-28,0,0,0,0,0,0,S,16.0,63.0,1
2006-01-19,0,0,0,0,0,0,NNE,18.0,91.0,1
2006-01-03,0,0,0,0,0,0,SW,16.0,63.0,1
2006-02-02,0,0,0,0,0,0,S,17.0,53.0,2
2006-03-01,0,0,0,0,0,0,SSE,12.0,68.0,1
2006-01-04,0,0,0,0,0,0,S,12.0,58.0,1
2006-01-14,0,0,0,0,0,0,SSW,15.0,72.0,1
2006-02-14,0,0,0,0,0,0,SSE,16.0,64.0,1
2006-02-11,0,0,0,0,0,0,E,5.0,74.0,1
2006-02-01,0,1,0,0,0,0,SW,9.0,62.0,2
2006-03-09,0,0,0,0,0,0,E,6.0,71.0,1
2006-02-18,0,0,0,0,0,0,S,13.0,64.0,1
2006-01-16,0,0,0,0,0,0,WNW,5.0,77.0,1
